#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-08-06T15:17:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ598732b534e4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/525/A71&tab:{J/A+A/525/A71/table2}&key:source=J/A+A/525/A71/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/525/A71/table2
#-order=I
#-out=Name
#-out=SpType
#-out=Teff
#-out=e_Teff
#-out=log(g)
#-out=e_log(g)
#-out=[Fe/H]
#-out=e_[Fe/H]
#
#RESOURCE=yCat_35250071
#Name: J/A+A/525/A71
#Title: Atmospheric parameters for 1273 stars (Wu+, 2011)
#Table	J_A_A_525_A71_table2:
#Name: J/A+A/525/A71/table2
#Title: Physical parameters adopted by this work
#Column	Name	(a10)	Stellar identification	[ucd=meta.id;meta.main]
#Column	SpType	(a12)	MK Spectral type	[ucd=src.spType]
#Column	Teff	(I5)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Error of effective temperature (1) [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	log(g)	(F5.2)	? Log of the surface gravity	[ucd=phys.gravity]
#Column	e_log(g)	(F5.2)	? Error of the log of the surface gravity (1)	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Error of metallicity (1)	[ucd=stat.error;phys.abund.Fe]
#| |K|K|[cm/s2]|[cm/s2]|[Sun]|[Sun]
#---------|------------|-----|----|-----|-----|-----|-----
Name|SpType|Teff|e_Teff|log(g)|e_log(g)|[Fe/H]|e_[Fe/H]
HD197964  |K1IV        | 4762|  22| 2.96| 0.07| 0.09| 0.05
HD198001  |A1V         | 9320| 131| 3.81| 0.08|-0.31| 0.09
HD198084  |F8IV-V      | 6091|  32| 3.96| 0.06| 0.11| 0.04
HD198149  |K0IV        | 4962|  34| 3.12| 0.10|-0.28| 0.08
HD198183  |B5Ve        |15629| 315| 3.81| 0.10|-0.05| 0.09
HD198345  |K5III       | 4037|  16| 1.96| 0.13|-0.07| 0.06
HD198390  |F5V         | 6424|  32| 4.18| 0.04|-0.32| 0.05
HD199081  |B5V         |15703| 352| 3.80| 0.10|-0.11| 0.10
HD199191  |GIII+...    | 4813|  32| 2.77| 0.10|-0.61| 0.07
HD199253  |K0III       | 4669|  25| 2.21| 0.08|-0.14| 0.06
HD199478  |B8Iae       |15983| 788| 2.48| 0.11|-0.14| 0.17
HD199870  |K0IIIbCN... | 4988|  33| 2.96| 0.08| 0.13| 0.07
HD199960  |G1V         | 5852|  32| 4.12| 0.06| 0.23| 0.05
HD200527  |M4s...      | 3365|   9| 0.52| 0.15|-0.07| 0.06
HD200790  |F8V         | 6145|  46| 3.99| 0.08| 0.02| 0.06
HD201099  |G0          | 5942|  41| 4.14| 0.08|-0.44| 0.07
HD201381  |G8III       | 5014|  31| 2.85| 0.08|-0.02| 0.07
HD201626  |G9p         | 4818| 111| 1.88| 0.39|-1.71| 0.27
HD201889  |G1V         | 5711|  49| 4.23| 0.10|-0.73| 0.10
HD201891  |F8V-VI      | 5818|  52| 4.13| 0.11|-1.05| 0.11
HD202259  |M1III       | 3748|   9| 1.39| 0.14|-0.10| 0.05
HD202573  |G5V:        | 4929|  37| 2.40| 0.11|-0.64| 0.09
HD202850  |B9Iab       |11839| 256| 2.05| 0.06| 0.15| 0.13
HD202904  |B2Vne       |16758| 637| 2.90| 0.10|-0.36| 0.16
HD203344  |K1III       | 4683|  27| 2.54| 0.09|-0.20| 0.06
HD203387  |G8III       | 5136|  34| 2.82| 0.09|-0.06| 0.07
HD203504  |K1III       | 4671|  24| 2.59| 0.08| 0.01| 0.05
HD203525  |M0III       | 3951|  14| 1.74| 0.14|-0.10| 0.06
HD204306  |F5          | 6050|  53| 4.12| 0.09|-0.58| 0.09
HD204363  |F7V         | 6220|  76| 4.29| 0.11|-0.34| 0.12
HD204445  |M1          | 3574|   6| 1.19| 0.12| 0.01| 0.04
HD204543  |G0          | 4612|  48| 1.20| 0.16|-1.93| 0.12
HD204613  |G1IIIa:     | 5734|  61| 3.85| 0.13|-0.35| 0.11
HD204642  |K2III       | 4664|  24| 2.94| 0.08| 0.03| 0.05
HD204771  |K0III       | 4966|  31| 2.92| 0.08| 0.06| 0.07
HD204867  |G0Ib        | 5705|  31| 1.06| 0.05| 0.03| 0.05
HD205021  |B2IIIevar   |24636|1275| 3.64| 0.10|-0.01| 0.05
HD205139  |B1II        |26810|2110| 3.98| 0.13|-0.12| 0.10
HD205435  |G8III       | 5088|  33| 2.90| 0.09|-0.16| 0.07
HD205512  |K1III       | 4696|  33| 2.52| 0.12|-0.03| 0.08
HD205637  |B3V:p       |19106|1130| 3.07| 0.13|-0.08| 0.14
HD206067  |K0III       | 4801|  28| 2.60| 0.08|-0.09| 0.06
HD206078  |G8III       | 4811|  30| 2.62| 0.10|-0.56| 0.07
HD206165  |B2Ib        |20569|    | 2.93|     |-0.28|
HD206267  |O6e         |40926| 943| 3.87| 0.04| 0.11| 0.03
HD206453  |G8III       | 5033|  37| 2.48| 0.10|-0.43| 0.09
HD206632  |M4III:      | 3197|  10| 0.33| 0.18|-0.30| 0.11
HD206936  |M2Iae       | 3784|  16| 0.04| 0.11| 0.05| 0.07
HD206952  |K1III       | 4713|  29| 2.73| 0.09| 0.19| 0.06
HD207089  |K0Iab:      | 4437|  38| 1.11| 0.11| 0.03| 0.08
HD207130  |K1III       | 4795|  31| 2.71| 0.09| 0.11| 0.07
HD207134  |K3III:      | 4429|  24| 2.41| 0.12|-0.06| 0.07
HD207330  |B3III       |20662| 626| 3.78| 0.08|-0.02| 0.05
HD207516  |B8V         |11629| 228| 4.07| 0.08| 0.04| 0.12
HD207978  |F6IV-Vwvar  | 6316|  64| 4.16| 0.07|-0.56| 0.09
HD208110  |G0IIIs      | 5011|  47| 2.25| 0.14|-1.09| 0.12
HD208202  |K0III+...   | 5007|  31| 2.88| 0.08|-0.04| 0.07
HD208501  |B8Ib        |15827| 632| 2.60| 0.09|-0.11| 0.12
HD208906  |F8V-VI      | 6035|  52| 4.30| 0.08|-0.72| 0.10
HD208947  |B2V         |19417| 851| 3.83| 0.21|-0.04| 0.14
HD209409  |B7IVe       |12221| 289| 2.62| 0.08|-0.16| 0.15
HD209419  |B5III       |15357| 369| 3.73| 0.08| 0.06| 0.07
HD209819  |B8V         |11258| 226| 4.09| 0.08|-0.08| 0.12
HD210295  |G8/K0w...   | 4877|  55| 2.20| 0.19|-1.29| 0.14
HD210752  |G0          | 5943|  41| 4.29| 0.07|-0.63| 0.08
HD210807  |G7II-III    | 5104|  36| 2.46| 0.09|-0.11| 0.08
HD210839  |O6Iab:...   |38903| 866| 3.41| 0.05| 0.03| 0.06
HD210855  |F8V         | 6210|  43| 3.89| 0.08| 0.13| 0.06
HD210889  |K2III       | 4615|  25| 2.60| 0.09| 0.02| 0.05
HD210939  |K1III       | 4546|  25| 2.28| 0.09|-0.02| 0.06
HD211391  |G8III       | 5021|  32| 2.77| 0.08| 0.15| 0.07
HD212496  |G8.5IIIb    | 4761|  27| 2.57| 0.09|-0.35| 0.06
HD212571  |B1Ve        |23278|1230| 3.53| 0.10|-0.02| 0.08
HD212943  |K0III       | 4676|  25| 2.76| 0.08|-0.28| 0.05
HD212978  |B2V         |20855| 700| 3.81| 0.11|-0.03| 0.07
HD213660  |A6V         | 8118| 126| 3.86| 0.13|-0.15| 0.16
HD214376  |K2III       | 4646|  26| 2.63| 0.09| 0.12| 0.06
HD214567  |G8II        | 4987|  37| 2.63| 0.10|-0.26| 0.09
HD214923  |B8V         |11597| 185| 3.93| 0.10| 0.06| 0.10
HD215373  |K0III       | 5080|  32| 2.85| 0.08| 0.16| 0.07
HD215648  |F7V         | 6187|  42| 4.04| 0.07|-0.26| 0.06
HD215721  |G8III       | 4907|  42| 2.49| 0.13|-0.46| 0.10
HD216131  |G8III       | 5022|  24| 2.76| 0.06|-0.09| 0.05
HD216143  |G5          | 4606|  48| 1.21| 0.16|-2.09| 0.11
HD216174  |K1III       | 4390|  24| 1.99| 0.11|-0.51| 0.07
HD216219  |G0IIp       | 5755|  50| 3.29| 0.11|-0.28| 0.09
HD216228  |K0III       | 4795|  28| 2.58| 0.08|-0.02| 0.06
HD216385  |F7IV        | 6266|  95| 4.08| 0.15|-0.18| 0.13
HD216640  |K1III       | 4628|  25| 3.17| 0.08| 0.16| 0.05
HD217014  |G2.5IVa     | 5756|  36| 4.23| 0.07| 0.20| 0.05
HD217675  |B6IIIpe+... |14491| 435| 2.95| 0.10| 0.03| 0.14
HD217906  |M2.5II-III  | 3455|   6| 1.03| 0.12|-0.16| 0.05
HD218029  |K3III       | 4437|  22| 2.34| 0.09| 0.18| 0.05
HD218031  |K0IIIb      | 4758|  31| 2.50| 0.10|-0.16| 0.07
HD218101  |G8IV        | 5220|  37| 3.76| 0.08| 0.10| 0.07
HD218470  |F5V         | 6497|  49| 4.12| 0.06|-0.13| 0.06
HD218502  |F3:w        | 6137|  48| 4.05| 0.07|-1.85| 0.13
HD218504  |G1/G2w...   | 5965|  53| 4.21| 0.09|-0.58| 0.10
HD218857  |G6w         | 5055|  75| 2.39| 0.23|-1.92| 0.17
HD218935  |G8III-IV    | 4924|  29| 2.99| 0.08|-0.16| 0.06
HD219134  |K3V         | 4700|  30| 4.58| 0.07| 0.02| 0.06
HD219449  |K0III       | 4690|  25| 2.59| 0.08| 0.00| 0.05
HD219615  |G9III:      | 4886|  32| 2.45| 0.10|-0.58| 0.08
HD219945  |K0III       | 4845|  31| 2.55| 0.09|-0.15| 0.07
HD219962  |K1III       | 4656|  25| 2.56| 0.08|-0.04| 0.06
HD220009  |K2III       | 4334|  23| 2.04| 0.12|-0.69| 0.07
HD220117  |F5V         | 6428|  44| 4.02| 0.07| 0.03| 0.05
HD220575  |B8III       |13014| 289| 3.21| 0.12| 0.11| 0.14
HD220825  |A0p...      |10375| 161| 3.78| 0.14| 0.74| 0.09
HD220954  |K1III       | 4759|  28| 2.63| 0.09| 0.07| 0.06
HD221115  |G7III       | 5045|  29| 2.83| 0.07| 0.06| 0.06
HD221148  |K3IIIvar    | 4635|  31| 3.32| 0.09| 0.34| 0.06
HD221170  |G2IV        | 4582|  46| 1.21| 0.16|-2.03| 0.11
HD221345  |G8III       | 4696|  27| 2.49| 0.09|-0.30| 0.06
HD221615  |M5III       | 3234|   8| 0.44| 0.15|-0.22| 0.08
HD221830  |F9V         | 5676|  51| 4.09| 0.10|-0.46| 0.09
HD221861  |G9Ib        | 4605|  41| 0.96| 0.07| 0.08| 0.08
HD222107  |G8III       | 4679|  24| 2.86| 0.08|-0.48| 0.05
HD222368  |F7V         | 6200|  42| 4.12| 0.07|-0.12| 0.06
HD222404  |K1IV        | 4782|  31| 3.25| 0.09| 0.08| 0.06
HD222439  |B9IVn       |10733| 247| 3.87| 0.13|-0.32| 0.15
HD222574  |G2Ib/II     | 5536|  34| 1.69| 0.07| 0.03| 0.07
HD223047  |G5Ib+...    | 5015|  35| 1.32| 0.06| 0.04| 0.07
HD223075  |CII...      | 3867|  90| 1.03| 0.80|-0.01| 0.33
HD223165  |K1III       | 4728|  29| 2.50| 0.09| 0.06| 0.06
HD223252  |G8III       | 5034|  35| 2.76| 0.09|-0.05| 0.08
HD223385  |A3Iae       |10142| 200| 1.41| 0.07| 0.46| 0.14
HD223460  |G1IIIe      | 5383|  42| 2.92| 0.10|-0.17| 0.09
HD223869  |K1III       | 4868|  30| 3.31| 0.08|-0.07| 0.06
HD224458  |G8III       | 4829|  49| 2.39| 0.12|-0.45| 0.11
HD224533  |G9III       | 5054|  32| 2.78| 0.08|-0.04| 0.07
HD224801  |B9p...      |12783| 169| 4.19| 0.08| 0.98| 0.07
HD224926  |B7III-IV    |13068| 224| 4.13| 0.08| 0.37| 0.09
HD224930  |G5Vb        | 5427|  39| 4.34| 0.08|-0.80| 0.09
HD225132  |B9IVn       |10797| 449| 4.24| 0.14| 0.00| 0.24
HD225180  |A1III       | 9561| 235| 2.73| 0.09|-0.47| 0.17
HD225212  |K3Iab:      | 4183|  23| 0.81| 0.09| 0.22| 0.05
HD225239  |G2V         | 5652|  50| 3.84| 0.11|-0.47| 0.09
HD232078  |K3IIp       | 4028|  15| 0.53| 0.08|-1.21| 0.06
HD233891  |G5IIIw      | 4772|  45| 1.55| 0.15|-1.56| 0.12
HD237846  |F8          | 4987|  64| 2.12| 0.19|-2.55| 0.13
HD237903  |K7V         | 4068|  14| 4.71| 0.05|-0.35| 0.06
HD338529  |B5          | 6174|  32| 3.93| 0.05|-2.15| 0.08
BD+01_2916|K0          | 4312|  26| 0.66| 0.09|-1.91| 0.06
BD+04_4551|F7Vw        | 5986|  58| 4.16| 0.09|-1.28| 0.13
BD+09_3063|Flat        | 5048| 160| 2.67| 0.41|-0.50| 0.41
BD+09_3223|Flat        | 5164|  51| 2.40| 0.15|-2.08| 0.13
BD+11_2998|F8          | 5334|  45| 2.61| 0.12|-1.21| 0.11
BD+18_2890|Flat        | 5102|  49| 2.59| 0.15|-1.45| 0.11
BD+18_2976|G0          | 4753|  49| 1.58| 0.16|-2.17| 0.11
BD+25_2436|G7III       | 4964|  41| 2.46| 0.12|-0.53| 0.10
BD+25_2479|G8III       | 5458|  46| 4.33| 0.09| 0.40| 0.07
BD+25_2497|G6III       | 4941|  46| 2.49| 0.14|-0.65| 0.11
BD+26_2276|G6III       | 5810|  69| 4.05| 0.13| 0.11| 0.10
BD+27_2057|G7III       | 4882|  51| 2.50| 0.15|-0.56| 0.12
BD+27_2096|G6III       | 5572|  47| 3.89| 0.10| 0.41| 0.07
BD+27_2126|G5          | 4721|  25| 2.57| 0.08|-0.06| 0.06
BD+28_2079|G7III       | 4812|  31| 2.36| 0.10|-0.50| 0.07
BD+29_2231|G7III       | 4942|  48| 2.52| 0.14|-0.44| 0.11
BD+29_2294|G5III-IVp   | 4983|  44| 2.47| 0.13|-0.70| 0.11
BD+30_2611|G8III       | 4391|  28| 0.96| 0.10|-1.46| 0.08
BD+30_2931|K2          | 4427|  20| 2.27| 0.08|-0.21| 0.05
BD+31_2356|G6III       | 5843|  55| 3.96| 0.11| 0.24| 0.08
BD+34_2371|G7III       | 4906|  69| 2.47| 0.16|-0.43| 0.16
BD+36_2303|G7III       | 4649|  31| 1.75| 0.11|-0.92| 0.08
BD+36_368 |K1III       | 4797|  48| 2.69| 0.15|-0.09| 0.11
BD+37_2312|G7III       | 5617|  45| 4.22| 0.09| 0.20| 0.07
BD+37_2319|G6III       | 5707|  46| 4.05| 0.09| 0.31| 0.07
BD+37_448 |G9III       | 4900|  37| 2.70| 0.10|-0.06| 0.08
BD+39_2554|G6III       | 5595|  43| 3.88| 0.09| 0.25| 0.07
BD+45_1668|A9.2        | 8693|  79| 4.72| 0.06|-0.48| 0.16
BD-01_2582|F0          | 5004|  72| 2.24| 0.22|-2.25| 0.16
BD-10_3166|K0V         | 5326|  43| 4.45| 0.08| 0.40| 0.07
BD-11_4126|K3V         | 4731|  26| 4.63| 0.06|-0.03| 0.06
BD-15_872 |F2          | 5511|  66| 4.27| 0.16|-0.39| 0.13
G_101-29  |G0          | 5374|  65| 3.26| 0.18|-2.01| 0.15
G_102-20  |Flat        | 5418|  38| 4.49| 0.08|-1.09| 0.10
G_102-27  |G0          | 5595|  36| 3.65| 0.08|-0.57| 0.07
G_103-55  |G0          | 5567|  37| 4.34| 0.07|-0.36| 0.07
G_103-68  |M3          | 3477|  11| 4.76| 0.07|-1.08| 0.15
G_107-27  |K2          | 4197|  21| 4.67| 0.07|-0.17| 0.06
G_108-29  |G0V         | 5752|  30| 4.31| 0.06|-0.39| 0.05
G_108-43  |G0          | 5805|  38| 4.23| 0.07|-0.59| 0.07
G_11-45   |G4V         | 5668|  36| 4.34| 0.07| 0.15| 0.06
G_112-54  |G8V         | 5317|  25| 4.53| 0.05|-0.78| 0.06
G_114-18  |G5          | 5444|  58| 4.50| 0.11|-0.13| 0.11
G_119-32  |F5          | 5706|  58| 3.96| 0.11|-1.90| 0.14
G_119-64  |G0          | 6134|  55| 4.16| 0.07|-1.53| 0.13
G_12-21   |F2          | 5938|  51| 4.18| 0.08|-1.32| 0.12
G_12-22   |G8V         | 5479|  84| 4.48| 0.16| 0.24| 0.14
G_12-24   |G3V         | 5648|  31| 4.29| 0.06|-0.15| 0.05
G_122-39  |G0          | 5578|  34| 4.60| 0.06|-0.33| 0.06
G_122-51  |G8Vp        | 5173|  28| 4.76| 0.06|-1.22| 0.08
G_122-66  |G8Vw...     | 4955|  26| 3.37| 0.07|-0.53| 0.06
G_123-29  |G0V         | 5745|  24| 4.28| 0.05|-0.83| 0.05
G_124-40  |K0          | 5458|  40| 4.09| 0.08| 0.52| 0.06
G_125-4   |K0V         | 5196| 131| 3.82| 0.31|-0.26| 0.26
G_126-62  |sdF8        | 6055|  55| 4.09| 0.08|-1.44| 0.13
G_136-45  |G0          | 5598|  26| 4.41| 0.05|-0.13| 0.05
G_139-48  |G0V         | 5774|  38| 4.24| 0.07|-0.76| 0.07
G_140-5   |A5          | 6035|  38| 3.94| 0.06|-2.09| 0.09
G_143-17  |G5Vw        | 5513|  30| 4.25| 0.06|-1.50| 0.08
G_144-6   |F7V-VI      | 5974|  34| 4.19| 0.05|-1.11| 0.07
G_149-25  |K0          | 5601|  29| 4.53| 0.06|-0.33| 0.06
G_15-20   |K3V         | 4884|  34| 4.56| 0.07| 0.25| 0.07
G_16-13   |G0          | 5748|  41| 4.01| 0.08|-0.84| 0.08
G_16-32   |K1.5IV      | 4862|  25| 3.67| 0.06| 0.08| 0.05
G_160-27  |G0          | 5504|  30| 3.91| 0.07|-0.48| 0.06
G_161-29  |K:          | 4676|  36| 4.56| 0.08|-0.06| 0.08
G_162-13  |K2          | 5343|  37| 4.47| 0.07| 0.34| 0.06
G_163-78  |K0          | 5185| 112| 4.17| 0.26| 0.36| 0.23
G_165-11  |G0          | 5800|  31| 4.12| 0.06|-0.57| 0.06
G_165-39  |A4          | 6160|  40| 3.98| 0.06|-2.03| 0.10
G_166-25  |F9V         | 5786|  29| 4.09| 0.06|-0.60| 0.05
G_166-45  |A5          | 6060|  51| 3.93| 0.08|-2.16| 0.12
G_17-21   |F8V         | 5877|  28| 4.14| 0.05|-0.73| 0.05
G_17-30   |G0          | 5706|  31| 4.19| 0.06|-0.48| 0.06
G_170-47  |G0          | 5070|  34| 2.35| 0.10|-2.48| 0.07
G_175-33  |G0          | 5731|  39| 4.15| 0.08| 0.30| 0.06
G_176-11  |M2V         | 3948|   9| 5.13| 0.29|-1.43| 0.04
G_180-35  |K0V         | 5292|  28| 4.36| 0.05| 0.49| 0.05
G_181-47  |G1V         | 5632|  41| 4.06| 0.09|-0.48| 0.08
G_182-19  |G0V         | 5795|  24| 4.25| 0.05|-0.54| 0.04
G_183-11  |F0          | 6133|  35| 3.97| 0.05|-2.06| 0.09
G_19-24   |K5          | 3959|  15| 4.59| 0.06|-0.27| 0.06
G_193-33  |G0          | 5814|  34| 4.12| 0.07|-0.52| 0.06
G_196-33  |F8          | 5901|  24| 4.30| 0.04|-0.47| 0.04
G_196-48  |G           | 5672|  80| 3.78| 0.16|-1.61| 0.18
G_196-9   |K5          | 3947|  12| 4.61| 0.05|-0.29| 0.05
G_197-45  |G5          | 5402|  51| 4.51| 0.10|-0.61| 0.11
G_197-56  |G2V         | 5620|  62| 4.42| 0.12|-0.71| 0.13
G_200-36  |G5          | 5511|  29| 4.43| 0.06| 0.18| 0.05
G_200-62  |K1V         | 5180|  25| 4.51| 0.05|-0.38| 0.05
G_205-5   |K2V         | 4973|  21| 4.56| 0.04|-0.20| 0.05
G_207-5   |F8          | 5904|  51| 4.32| 0.09|-0.50| 0.09
G_212-10  |K0III-IV    | 4877|  32| 3.19| 0.09|-0.17| 0.07
G_22-7    |K0IV-V      | 5534|  31| 4.30| 0.06| 0.31| 0.05
G_223-65  |G3IV        | 4968|  31| 2.38| 0.09|-0.72| 0.08
G_227-46  |M3V         | 3481|  10| 4.78| 0.07|-1.01| 0.13
G_229-34  |F8          | 5675|  31| 4.18| 0.06|-0.28| 0.05
G_230-49  |G0          | 5763|  53| 4.24| 0.12|-0.54| 0.10
G_237-84  |G0          | 5572|  29| 4.52| 0.06|-0.45| 0.06
G_241-18  |G5          | 5631|  43| 4.39| 0.08|-0.51| 0.08
G_243-63  |F8V         | 5063|  51| 2.46| 0.16|-1.63| 0.12
G_244-59  |G8V         | 5538|  34| 4.44| 0.07|-0.50| 0.07
G_245-32  |sd:F2       | 6114|  62| 4.06| 0.09|-1.80| 0.16
G_246-38  |G0          | 5389|  60| 4.04| 0.13|-1.90| 0.16
G_249-49  |G0          | 5875|  33| 4.11| 0.06|-0.83| 0.06
G_25-15   |F9V         | 5887|  47| 4.32| 0.08|-0.58| 0.09
G_25-29   |G5          | 5802|  52| 4.12| 0.10|-0.65| 0.10
G_250-22  |K5          | 4257|  20| 4.68| 0.06|-0.16| 0.06
G_256-34  |K1III       | 4693|  26| 2.57| 0.10|-0.60| 0.06
G_257-32  |K7          | 3600|  15| 4.59| 0.11|-0.84| 0.19
G_259-35  |G5III       | 5056|  31| 2.48| 0.09|-1.44| 0.07
G_27-44   |F8          | 5987|  45| 4.18| 0.08|-0.68| 0.08
G_270-23  |F5V         | 6161|  59| 4.12| 0.08|-1.09| 0.12
G_36-33   |K1V         | 5344|  27| 4.64| 0.05| 0.14| 0.05
G_37-26   |A4p         | 5876|  35| 3.99| 0.06|-1.98| 0.09
G_4-44    |G5          | 5846|  49| 4.23| 0.09|-0.66| 0.09
G_40-34   |F0          | 6570|  51| 4.24| 0.05|-1.39| 0.12
G_43-3    |sdF5        | 6210|  38| 3.94| 0.06|-2.12| 0.09
G_43-33   |F8          | 5954|  35| 4.01| 0.06|-0.50| 0.06
G_44-6    |G1V         | 5675|  33| 4.34| 0.06|-0.64| 0.07
G_46-31   |Flat        | 5925| 111| 4.12| 0.19|-0.83| 0.20
G_48-29   |sd:A2       | 6227|  50| 3.92| 0.08|-2.25| 0.12
G_5-40    |G0          | 5893|  76| 4.19| 0.13|-0.81| 0.15
G_57-11   |G5          | 5759|  36| 4.46| 0.07| 0.06| 0.06
G_58-25   |F4V         | 5930|  31| 4.13| 0.05|-1.39| 0.07
G_58-30   |G0          | 5902|  29| 4.30| 0.05| 0.13| 0.04
G_60-6    |K2          | 5046|  40| 4.60| 0.08| 0.10| 0.08
G_63-9    |F9V         | 5897|  32| 4.19| 0.06|-0.71| 0.06
G_65-16   |G5          | 5694|  38| 4.30| 0.07|-0.42| 0.07
G_65-47   |G1V         | 5689|  29| 4.41| 0.05|-0.37| 0.05
G_7-6     |G0          | 5746|  32| 4.12| 0.06| 0.17| 0.05
G_74-5    |F8V         | 5699|  24| 4.33| 0.04|-0.95| 0.05
G_75-62   |G5          | 5520|  29| 4.42| 0.06|-0.47| 0.06
G_78-14   |G8          | 5286|  39| 4.57| 0.08|-0.40| 0.08
G_80-15   |F9V         | 5798|  26| 4.18| 0.05|-0.89| 0.05
G_81-38   |G1V-VI      | 5786|  28| 4.25| 0.05|-0.51| 0.05
G_82-12   |G0          | 5660|  30| 4.13| 0.06|-0.26| 0.05
G_84-29   |sd:F0       | 6189|  40| 3.88| 0.06|-2.25| 0.10
G_84-37   |G0          | 5895|  41| 4.19| 0.07|-1.06| 0.09
G_88-40   |F8          | 5932|  36| 4.14| 0.06|-0.84| 0.07
G_89-11   |K0          | 5131|  33| 4.47| 0.06| 0.16| 0.06
G_90-1    |K2V         | 4948|  41| 4.71| 0.08|-0.06| 0.08
G_90-25   |sdG2        | 5479|  30| 4.28| 0.06|-1.61| 0.08
G_95-4    |G0          | 5648|  30| 4.13| 0.06|-0.42| 0.05
G_95-57   |K1V         | 5187|  33| 4.63| 0.07|-0.94| 0.08
G_96-20   |F8          | 6284|  37| 4.26| 0.04|-0.90| 0.07
NGP_29_129|K1V         | 5315|  44| 4.45| 0.09| 0.22| 0.08
